komentar,rating,date,nama_bank,channel,sentimen,text_clean,text_preprocessed
coba dulu kalau bagus nnti ditambahin bintang nya,5,2017-05-27 13:54:09,Jenius,Playstore,positif,coba dulu kalau bagus nnti ditambahin bintang nya,"['coba', 'bagus', 'nnti', 'ditambahin', 'bintang']"
"Raiso login, emaneman tiwas gawe rekening. Mubazir",1,2021-12-13 5:49:59,Jenius,Playstore,negatif,raiso login emaneman tiwas gawe rekening mubazir,"['raiso', 'login', 'emaneman', 'tiwas', 'gawe', 'rekening', 'mubazir']"
GK jadi pinjam tolong hapus .data saya sistem otomtis ...,1,2022-01-18 13:41:45,Jago,Playstore,netral,gk jadi pinjam tolong hapus data saya sistem otomtis,"['gk', 'pinjam', 'tolong', 'hapus', 'data', 'sistem', 'otomtis']"
Susah banget masuknya,3,2022-02-20 7:35:06,Neocommerce,Playstore,negatif,susah banget masuknya,"['susah', 'masuk']"
Oke,5,2021-07-05 17:46:00,Neocommerce,Playstore,positif,oke,['oke']
"Ktanya pengajuan mudah, tp kenyataannya tidak sesuai.",1,2019-09-19 13:05:27,Digibank,Playstore,negatif,ktanya pengajuan mudah tp kenyataannya tidak sesuai,"['ktanya', 'aju', 'mudah', 'nyata', 'sesuai']"
Maaf ya saya g jd pinjam 29 07 2021. Mohon jaga data saya jng di salah gunakan trmksh,1,2021-07-29 13:22:06,Digibank,Playstore,netral,maaf ya saya g jd pinjam    mohon jaga data saya jng di salah gunakan trmksh,"['maaf', 'g', 'jd', 'pinjam', 'mohon', 'jaga', 'data', 'jng', 'salah', 'trmksh']"
Coba,5,2016-11-04 15:22:42,Jenius,Playstore,netral,coba,['coba']
Kenapa saya blm dpt bonus fitur ajak teman ?padahal teman yg saya ajak sdh memasukam kode refreal saya.mohon di cek dong cs,3,2021-10-03 23:22:11,Neocommerce,Playstore,netral,kenapa saya blm dpt bonus fitur ajak teman padahal teman yg saya ajak sdh memasukam kode refreal sayamohon di cek dong cs,"['blm', 'dpt', 'bonus', 'fitur', 'ajak', 'teman', 'teman', 'ajak', 'sdh', 'memasukam', 'kode', 'refreal', 'sayamohon', 'cek', 'cs']"
"Ini gimana ya pas buka aplikasinya di suruh update, pas di update muter teruss padhal jaringan baguss,,",2,2021-11-25 23:07:25,Livin,Playstore,negatif,ini gimana ya pas buka aplikasinya di suruh update pas di update muter teruss padhal jaringan baguss,"['gimana', 'buka', 'aplikasi', 'suruh', 'update', 'update', 'muter', 'teruss', 'padhal', 'jaring', 'baguss']"
Membantu transaksi keuangan,5,2022-02-08 14:44:26,Livin,Playstore,positif,membantu transaksi keuangan,"['bantu', 'transaksi', 'uang']"
Bingung masih,3,2021-08-29 21:01:45,Jago,Playstore,netral,bingung masih,['bingung']
ln,4,2019-10-16 13:27:07,Jenius,Playstore,netral,ln,['ln']
"Aplikasi mbanking yang sangat user friendly, dan mudah digunakan",5,2021-08-23 3:18:23,Jenius,Playstore,positif,aplikasi mbanking yang sangat user friendly dan mudah digunakan,"['mbanking', 'user', 'friendly', 'mudah']"
Good Aplikasinya bagus bgttt!,5,2022-01-21 9:26:05,Raya,Appstore,positif,good aplikasinya bagus bgttt,"['good', 'aplikasi', 'bagus', 'bgttt']"
Keren Aplikasi TMRWbyUOB ID!!! Terima kasih TMRW transaksi saya jadi lebih cepat dan mudah 👍🏻👍🏻👍🏻,5,2021-03-06 14:32:54,TMRW,Appstore,positif,keren aplikasi tmrwbyuob id terima kasih tmrw transaksi saya jadi lebih cepat dan mudah 👍🏻👍🏻👍🏻,"['keren', 'tmrwbyuob', 'id', 'terima', 'kasih', 'transaksi', 'cepat', 'mudah', '']"
tap,5,2021-10-18 14:13:18,Blu,Playstore,netral,tap,['tap']
Semakin memudakan transsaksi,5,2022-02-06 3:33:34,Livin,Playstore,positif,semakin memudakan transsaksi,"['muda', 'transsaksi']"
lebih mudah,5,2019-02-23 3:19:31,Digibank,Playstore,positif,lebih mudah,['mudah']
"Login punya sendiri kok gak bisa , gimana nih ??",1,2021-07-06 1:10:34,Neocommerce,Playstore,negatif,login punya sendiri kok gak bisa  gimana nih,"['login', 'gak', 'gimana']"
Jenius aplikasi digital perbankan yang cocok untuk menabung👍,5,2021-06-07 3:16:35,Jenius,Playstore,positif,jenius aplikasi digital perbankan yang cocok untuk menabung👍,"['digital', 'perban', 'cocok', 'tabung']"
"Tolong di jawab!! Kenapa setiap jam 00.00 kebawah livin' by mandiri saya selalu trouble, tidak bisa cek saldo tidak bisa transfer, tidak bisa topup udah ganti jaringan seluler ke wi-fi tetap saja tidak bisa... Ini kendalanya kenapa? 🙏",4,2022-02-15 18:55:13,Livin,Playstore,negatif,tolong di jawab kenapa setiap jam  kebawah livin by mandiri saya selalu trouble tidak bisa cek saldo tidak bisa transfer tidak bisa topup udah ganti jaringan seluler ke wifi tetap saja tidak bisa ini kendalanya kenapa 🙏,"['tolong', 'jam', 'bawah', 'by', 'trouble', 'cek', 'saldo', 'transfer', 'topup', 'udah', 'ganti', 'jaring', 'seluler', 'wifi', 'kendala', '']"
Keren siihh.. Aplikasinya simple bgt. Apalagi fitur Dompet Digitalnya buat kita para milenial merasakan kepraktisan tiada tara..,5,2021-05-20 23:22:37,Jenius,Playstore,positif,keren siihh aplikasinya simple bgt apalagi fitur dompet digitalnya buat kita para milenial merasakan kepraktisan tiada tara,"['keren', 'siihh', 'aplikasi', 'simple', 'fitur', 'dompet', 'digital', 'milenial', 'rasa', 'praktis', 'tiada', 'tara']"
Overral cukup oke.. Bnyk gratisan haha... Mungkin menu pembayaran bisa lebih beragam lagi..,4,2018-02-02 4:39:10,Digibank,Playstore,positif,overral cukup oke bnyk gratisan haha mungkin menu pembayaran bisa lebih beragam lagi,"['overral', 'oke', 'bnyk', 'gratis', 'menu', 'bayar', 'agam']"
Kenapa nggak bisa login ya? Tulisannya sesi sudah selesai terus keluar lagi nggak bisa masuk,1,2022-02-09 10:31:11,Jenius,Playstore,negatif,kenapa nggak bisa login ya tulisannya sesi sudah selesai terus keluar lagi nggak bisa masuk,"['nggak', 'login', 'tulis', 'sesi', 'selesai', 'nggak', 'masuk']"
Kenapa ngak bsa di upgrade ya.. saya susah buat kerja.. berkali2 di upgrade ttp ngak bsa2,2,2021-07-11 3:49:58,Jago,Playstore,negatif,kenapa ngak bsa di upgrade ya saya susah buat kerja berkali di upgrade ttp ngak bsa,"['ngak', 'bsa', 'upgrade', 'susah', 'kerja', 'kali', 'upgrade', 'ttp', 'ngak', 'bsa']"
Sangat bagus dan membantu sekali,5,2022-02-05 10:01:20,Neocommerce,Playstore,positif,sangat bagus dan membantu sekali,"['bagus', 'bantu']"
"Maaf saya kasih b2.. Krena saya sdh frivikasi pembuatan rekening online smuaa syarat sudh saya penuhi tapi kenapa masih gagal? Dan dsuruh hubungi costumer servis, maaf delete ajah lah data² saya.",2,2021-06-04 23:14:12,Neocommerce,Playstore,negatif,maaf saya kasih b krena saya sdh frivikasi pembuatan rekening online smuaa syarat sudh saya penuhi tapi kenapa masih gagal dan dsuruh hubungi costumer servis maaf delete ajah lah data² saya,"['maaf', 'kasih', 'b', 'krena', 'sdh', 'frivikasi', 'buat', 'rekening', 'online', 'smuaa', 'syarat', 'sudh', 'penuh', 'gagal', 'dsuruh', 'hubung', 'costumer', 'servis', 'maaf', 'delete', 'ajah', 'data']"
"Saya pake neobank dari bulan November 2021. Alhamdulillah sangat membantu, setiap kendala ngadu ke akun Facebook Neo, responnya cukup cepat juga jelas, kalo ke email kurang yah. Semenjak punya Neo dikit banyaknya uang ngalir tiap hari. Semoga Neobank selalu amanah dan sukses🤗🥰 Jangan bosan jadi yang terbaik!!!!",5,2022-02-10 10:28:29,Neocommerce,Playstore,positif,saya pake neobank dari bulan november  alhamdulillah sangat membantu setiap kendala ngadu ke akun facebook neo responnya cukup cepat juga jelas kalo ke email kurang yah semenjak punya neo dikit banyaknya uang ngalir tiap hari semoga neobank selalu amanah dan sukses🤗🥰 jangan bosan jadi yang terbaik,"['pake', 'neobank', 'november', 'alhamdulillah', 'bantu', 'kendala', 'ngadu', 'akun', 'facebook', 'responnya', 'cepat', 'email', 'yah', 'semenjak', 'dikit', 'banyak', 'uang', 'ngalir', 'moga', 'neobank', 'amanah', 'sukses', 'bosan', 'baik']"
"Aplikasi mbanking yang aman digunakan siapa saja, cocok untuk menabung apalagi tampilan ui ux simple bikin betah top up di bank ini. Cara aktivasi yang aman dengan video call langsung bisa digunakan.",5,2021-11-28 17:28:01,Jenius,Playstore,positif,aplikasi mbanking yang aman digunakan siapa saja cocok untuk menabung apalagi tampilan ui ux simple bikin betah top up di bank ini cara aktivasi yang aman dengan video call langsung bisa digunakan,"['mbanking', 'aman', 'cocok', 'tabung', 'tampil', 'ui', 'ux', 'simple', 'betah', 'top', 'up', 'aktivasi', 'aman', 'video', 'call', 'langsung']"
App ok,5,2021-12-08 1:04:52,Livin,Playstore,positif,app ok,['ok']
"Jangan terlalu sering minta update dunk dan kalau tidak diupdate seharusnya aplikasi tetap bisa dibuka, aplikasi lain kalau ga diupdate tetap bisa dibuka...",3,2021-11-20 5:54:22,Livin,Playstore,negatif,jangan terlalu sering minta update dunk dan kalau tidak diupdate seharusnya aplikasi tetap bisa dibuka aplikasi lain kalau ga diupdate tetap bisa dibuka,"['update', 'dunk', 'diupdate', 'buka', 'ga', 'diupdate', 'buka']"
"Bisa tidak tolong arahkan kembali ke tahap verifikasi yang belum selesai, kemarin saya sempat daftar hanya saja saya masih di tahap penyelesaian di langkah verifikasi kedua tapi saya kensel, pas login apk no z sdh trdaftar pas mau login pke no aku kok gak bisa msuk ya sya bingung mau memasukkan password appa? Sementara saya sja verifikasinya tidak selesai kok no sya sdh trdaftar sja trus bgaimna cranya sya mensukkan password? Hrusnya aplikasi ini mengarahkan kmbali ketahap pnyelesaian verifikasi",1,2021-09-17 3:43:21,Neocommerce,Playstore,negatif,bisa tidak tolong arahkan kembali ke tahap verifikasi yang belum selesai kemarin saya sempat daftar hanya saja saya masih di tahap penyelesaian di langkah verifikasi kedua tapi saya kensel pas login apk no z sdh trdaftar pas mau login pke no aku kok gak bisa msuk ya sya bingung mau memasukkan password appa sementara saya sja verifikasinya tidak selesai kok no sya sdh trdaftar sja trus bgaimna cranya sya mensukkan password hrusnya aplikasi ini mengarahkan kmbali ketahap pnyelesaian verifikasi,"['tolong', 'arah', 'tahap', 'verifikasi', 'selesai', 'kemarin', 'daftar', 'tahap', 'selesai', 'langkah', 'verifikasi', 'kensel', 'login', 'no', 'z', 'sdh', 'trdaftar', 'login', 'pke', 'no', 'gak', 'msuk', 'sya', 'bingung', 'masuk', 'password', 'appa', 'sja', 'verifikasi', 'selesai', 'no', 'sya', 'sdh', 'trdaftar', 'sja', 'trus', 'bgaimna', 'cranya', 'sya', 'mensukkan', 'password', 'hrusnya', 'arah', 'kmbali', 'tahap', 'pnyelesaian', 'verifikasi']"
"Aplikasi yang sangat berguna dan praktis, recommended banget buat kamu kamu",5,2021-04-28 5:11:46,Jenius,Playstore,positif,aplikasi yang sangat berguna dan praktis recommended banget buat kamu kamu,"['guna', 'praktis', 'recommended']"
ditunggu Free Admin Transfer nya tanpa Syarat 😁😁😁,5,2022-01-26 13:25:27,Blu,Playstore,netral,ditunggu free admin transfer nya tanpa syarat 😁😁😁,"['tunggu', 'free', 'admin', 'transfer', 'syarat', '']"
"Lawak buat apa di acc daftar online?? Sudah di kasih no rekening. nunggu 7 hari jam kerja hasilnya bobrok/nihil😭😭😭 Terkait pengiriman mandiri kartu debit, dapat kami informasikan bahwa berdasarkan data kami untuk pengiriman mandiri kartu debit Bapak tidak dapat kami penuhi/retur. Kami persilahkan Bapak melakukan penerbitan mandiri kartu debit yang baru melalui Kantor Cabang Bank Mandiri terdekat dengan membawa kelengkapan dokumen KTP asli yang masih berlaku dan tidak dikenakan biaya (free).",1,2021-11-20 12:28:10,Livin,Playstore,negatif,lawak buat apa di acc daftar online sudah di kasih no rekening nunggu  hari jam kerja hasilnya bobroknihil😭😭😭 terkait pengiriman mandiri kartu debit dapat kami informasikan bahwa berdasarkan data kami untuk pengiriman mandiri kartu debit bapak tidak dapat kami penuhiretur kami persilahkan bapak melakukan penerbitan mandiri kartu debit yang baru melalui kantor cabang bank mandiri terdekat dengan membawa kelengkapan dokumen ktp asli yang masih berlaku dan tidak dikenakan biaya free,"['lawak', 'acc', 'daftar', 'online', 'kasih', 'no', 'rekening', 'nunggu', 'jam', 'kerja', 'hasil', 'bobroknihil', 'kait', 'kirim', 'kartu', 'debit', 'informasi', 'dasar', 'data', 'kirim', 'kartu', 'debit', 'penuhiretur', 'silah', 'terbit', 'kartu', 'debit', 'kantor', 'cabang', 'dekat', 'bawa', 'lengkap', 'dokumen', 'ktp', 'asli', 'laku', 'kena', 'biaya', 'free']"
"Aplikasi ini tidak memberikan respon balik,,q sudah sukses membuka 3 akun dg kode reperal q tp baru cuma 25000 rupiah yg di berikan,,ini membuat tidak nyaman,dan aq berhenti merekomendasikan aplikasi ini pada teman lain nya...",1,2021-10-04 12:36:46,Neocommerce,Playstore,negatif,aplikasi ini tidak memberikan respon balikq sudah sukses membuka  akun dg kode reperal q tp baru cuma  rupiah yg di berikanini membuat tidak nyamandan aq berhenti merekomendasikan aplikasi ini pada teman lain nya,"['respon', 'balikq', 'sukses', 'buka', 'akun', 'dg', 'kode', 'reperal', 'q', 'rupiah', 'berikanini', 'nyamandan', 'aq', 'henti', 'rekomendasi', 'teman']"
"Mohon bantuanya kak, saya lupa pasword akun neo saya, dan nomer telepon saya hilang . Mohon bantuanya",5,2022-02-09 23:17:10,Neocommerce,Playstore,netral,mohon bantuanya kak saya lupa pasword akun neo saya dan nomer telepon saya hilang  mohon bantuanya,"['mohon', 'bantuanya', 'kak', 'lupa', 'pasword', 'akun', 'nomer', 'telepon', 'hilang', 'mohon', 'bantuanya']"
Mantap,5,2021-07-12 5:43:24,Neocommerce,Playstore,positif,mantap,['mantap']
"Aplikasinya bagus banget, sangat bermanfaat di masa pandemi seperti saat ini. Salah satunya bisa buat nabung loh🥰",5,2021-07-30 2:51:21,Jenius,Playstore,positif,aplikasinya bagus banget sangat bermanfaat di masa pandemi seperti saat ini salah satunya bisa buat nabung loh🥰,"['aplikasi', 'bagus', 'manfaat', 'pandemi', 'salah', 'satu', 'nabung', 'loh']"
"Tak kasih dua bintang dulu,kalau memang untuk pendaftaran pertama dapat cashback 150 akan aku kasih bintang lima dan akan aku pergunakan line bank ini sebaik - baiknya,untuk penyimpanan hasil usaha keluarga kami",2,2021-06-15 22:35:04,LineBank,Playstore,netral,tak kasih dua bintang dulukalau memang untuk pendaftaran pertama dapat cashback  akan aku kasih bintang lima dan akan aku pergunakan line bank ini sebaik  baiknyauntuk penyimpanan hasil usaha keluarga kami,"['kasih', 'bintang', 'dulukalau', 'daftar', 'cashback', 'kasih', 'bintang', 'guna', 'line', 'baiknyauntuk', 'simpan', 'hasil', 'usaha', 'keluarga']"
Ada kendala di akun rekening jago yg di masukin ke akun pintu ko nomer rekening dulu dengan yg sekarang jadi beda kenapa padahal di aku pintu ada penarikan dana ke akun jago jadi masuk nya ke akun rekening jago yg dulu mohon di respon dong,4,2022-01-22 21:00:57,Jago,Playstore,negatif,ada kendala di akun rekening jago yg di masukin ke akun pintu ko nomer rekening dulu dengan yg sekarang jadi beda kenapa padahal di aku pintu ada penarikan dana ke akun jago jadi masuk nya ke akun rekening jago yg dulu mohon di respon dong,"['kendala', 'akun', 'rekening', 'masukin', 'akun', 'pintu', 'ko', 'nomer', 'rekening', 'beda', 'pintu', 'tari', 'dana', 'akun', 'masuk', 'akun', 'rekening', 'mohon', 'respon']"
Terimakasih,1,2016-11-22 16:18:27,Jenius,Playstore,netral,terimakasih,['terimakasih']
awas data kalian di bajak qpk ini,1,2021-09-14 16:35:33,Jago,Playstore,negatif,awas data kalian di bajak qpk ini,"['awas', 'data', 'bajak', 'qpk']"
Semua jadi lebih mudah smenjak pakai bnc.tfr praktis bebas biaya acmin pula...terima kasih bank neo,5,2021-11-13 5:06:15,Neocommerce,Playstore,positif,semua jadi lebih mudah smenjak pakai bnctfr praktis bebas biaya acmin pulaterima kasih bank neo,"['mudah', 'smenjak', 'pakai', 'bnctfr', 'praktis', 'bebas', 'biaya', 'acmin', 'pulaterima', 'kasih']"
Oke mantap,5,2021-11-25 13:55:37,Jago,Playstore,positif,oke mantap,"['oke', 'mantap']"
"Bug di IOS Bug di IOS tidak bisa tarik saldo di blusaving jika di Andoid tidak masalah tolong di cek kembali. IOS version 15.3.

Saya sudah menggunakan version terbaru malah versi sebelumnya tidak pernah ada masalah tolong di cek kembali di ios 15.3 

Masalahnya pas masukkan nominal lalu klik lanjut tiba2 app blu nya hanyah putih tidak ada tombol lanjut",5,2022-02-10 5:26:41,Blu,Appstore,negatif,bug di ios bug di ios tidak bisa tarik saldo di blusaving jika di andoid tidak masalah tolong di cek kembali ios version   saya sudah menggunakan version terbaru malah versi sebelumnya tidak pernah ada masalah tolong di cek kembali di ios    masalahnya pas masukkan nominal lalu klik lanjut tiba app blu nya hanyah putih tidak ada tombol lanjut,"['bug', 'ios', 'bug', 'ios', 'tarik', 'saldo', 'blusaving', 'andoid', 'tolong', 'cek', 'ios', 'version', 'version', 'baru', 'versi', 'tolong', 'cek', 'ios', 'masuk', 'nominal', 'klik', 'hanyah', 'putih', 'tombol']"
"Mohon bantuanya saya bikin card jenius, tapi belum jadi,akun saya kena hack email dan kata sandi di ganti saya hawatir akun saya di salah gunakan oleh pihak yang tidak bertanggung jawab🙏",2,2021-04-16 11:57:30,Jenius,Playstore,netral,mohon bantuanya saya bikin card jenius tapi belum jadiakun saya kena hack email dan kata sandi di ganti saya hawatir akun saya di salah gunakan oleh pihak yang tidak bertanggung jawab🙏,"['mohon', 'bantuanya', 'card', 'jadiakun', 'kena', 'hack', 'email', 'sandi', 'ganti', 'hawatir', 'akun', 'salah', 'tanggung', 'jawab']"
Terimakasih atas kerjasama..moga tambah sukses &Amanah yach,5,2021-11-21 19:56:56,Jago,Playstore,positif,terimakasih atas kerjasamamoga tambah sukses amanah yach,"['terimakasih', 'kerjasamamoga', 'sukses', 'amanah', 'yach']"
"Foreclose terus untuk versi terbarunya , jadi jengkel sendiri",1,2022-01-23 2:34:37,Neocommerce,Playstore,negatif,foreclose terus untuk versi terbarunya  jadi jengkel sendiri,"['foreclose', 'versi', 'baru', 'jengkel']"
"Saya sudah daftar, data yg dimasukan juga sesuai. Proses pendaftaran sudah sampai ke tlpn sama cs tapi beberapa saat setelah itu ada pemberitahuan saya gagal dalam membuat rekening bku BCA. Kenapa ya?",2,2021-09-27 4:21:09,Blu,Playstore,netral,saya sudah daftar data yg dimasukan juga sesuai proses pendaftaran sudah sampai ke tlpn sama cs tapi beberapa saat setelah itu ada pemberitahuan saya gagal dalam membuat rekening bku bca kenapa ya,"['daftar', 'data', 'masuk', 'sesuai', 'proses', 'daftar', 'tlpn', 'cs', 'pemberitahuan', 'gagal', 'rekening', 'bku']"
Coba dulu,3,2016-11-25 19:01:38,Jenius,Playstore,netral,coba dulu,['coba']
